 lambda      Rs      Ts      As      Rp      Tp      Ap
756.5589 40.8648 52.0441  7.0911 40.8648 52.0441  7.0911
756.0976 41.0488 51.8488  7.1024 41.0488 51.8488  7.1024
755.6368 41.2295 51.6563  7.1142 41.2295 51.6563  7.1142
755.1766 41.4069 51.4666  7.1265 41.4069 51.4666  7.1265
754.7170 41.5810 51.2797  7.1393 41.5810 51.2797  7.1393
754.2579 41.7517 51.0956  7.1527 41.7517 51.0956  7.1527
753.7994 41.9191 50.9143  7.1666 41.9191 50.9143  7.1666
753.3414 42.0831 50.7358  7.1811 42.0831 50.7358  7.1811
752.8840 42.2438 50.5600  7.1962 42.2438 50.5600  7.1962
752.4272 42.4011 50.3871  7.2118 42.4011 50.3871  7.2118
751.9709 42.5550 50.2170  7.2280 42.5550 50.2170  7.2280
751.5152 42.7055 50.0497  7.2448 42.7055 50.0497  7.2448
751.0600 42.8527 49.8852  7.2621 42.8527 49.8852  7.2621
750.6053 42.9965 49.7235  7.2801 42.9965 49.7235  7.2801
750.1512 43.1368 49.5645  7.2986 43.1368 49.5645  7.2986
749.6977 43.2738 49.4084  7.3178 43.2738 49.4084  7.3178
749.2447 43.4074 49.2551  7.3376 43.4074 49.2551  7.3376
748.7923 43.5375 49.1045  7.3580 43.5375 49.1045  7.3580
748.3404 43.6642 48.9568  7.3790 43.6642 48.9568  7.3790
747.8890 43.7875 48.8119  7.4006 43.7875 48.8119  7.4006
747.4382 43.9073 48.6697  7.4229 43.9073 48.6697  7.4229
746.9880 44.0237 48.5304  7.4459 44.0237 48.5304  7.4459
746.5382 44.1367 48.3938  7.4695 44.1367 48.3938  7.4695
746.0890 44.2462 48.2600  7.4938 44.2462 48.2600  7.4938
745.6404 44.3522 48.1290  7.5187 44.3522 48.1290  7.5187
745.1923 44.4548 48.0008  7.5443 44.4548 48.0008  7.5443
744.7447 44.5539 47.8754  7.5706 44.5539 47.8754  7.5706
744.2977 44.6495 47.7528  7.5976 44.6495 47.7528  7.5976
743.8512 44.7417 47.6330  7.6253 44.7417 47.6330  7.6253
743.4053 44.8303 47.5160  7.6538 44.8303 47.5160  7.6538
742.9599 44.9154 47.4017  7.6829 44.9154 47.4017  7.6829
742.5150 44.9970 47.2902  7.7127 44.9970 47.2902  7.7127
742.0706 45.0751 47.1816  7.7433 45.0751 47.1816  7.7433
741.6268 45.1497 47.0757  7.7747 45.1497 47.0757  7.7747
741.1835 45.2207 46.9726  7.8067 45.2207 46.9726  7.8067
740.7407 45.2882 46.8722  7.8396 45.2882 46.8722  7.8396
740.2985 45.3521 46.7747  7.8732 45.3521 46.7747  7.8732
739.8568 45.4125 46.6800  7.9076 45.4125 46.6800  7.9076
739.4156 45.4693 46.5880  7.9427 45.4693 46.5880  7.9427
738.9750 45.5225 46.4988  7.9787 45.5225 46.4988  7.9787
738.5348 45.5721 46.4125  8.0155 45.5721 46.4125  8.0155
738.0952 45.6181 46.3289  8.0530 45.6181 46.3289  8.0530
737.6562 45.6605 46.2481  8.0914 45.6605 46.2481  8.0914
737.2176 45.6993 46.1701  8.1307 45.6993 46.1701  8.1307
736.7796 45.7344 46.0949  8.1707 45.7344 46.0949  8.1707
736.3420 45.7659 46.0225  8.2116 45.7659 46.0225  8.2116
735.9050 45.7937 45.9529  8.2534 45.7937 45.9529  8.2534
735.4686 45.8178 45.8861  8.2960 45.8178 45.8861  8.2960
735.0326 45.8383 45.8221  8.3395 45.8383 45.8221  8.3395
734.5972 45.8551 45.7610  8.3839 45.8551 45.7610  8.3839
734.1622 45.8681 45.7026  8.4292 45.8681 45.7026  8.4292
733.7278 45.8775 45.6471  8.4754 45.8775 45.6471  8.4754
733.2939 45.8831 45.5944  8.5226 45.8831 45.5944  8.5226
732.8605 45.8849 45.5445  8.5706 45.8849 45.5445  8.5706
732.4276 45.8830 45.4974  8.6196 45.8830 45.4974  8.6196
731.9953 45.8773 45.4532  8.6695 45.8773 45.4532  8.6695
731.5634 45.8678 45.4118  8.7204 45.8678 45.4118  8.7204
731.1321 45.8545 45.3732  8.7723 45.8545 45.3732  8.7723
730.7012 45.8373 45.3375  8.8252 45.8373 45.3375  8.8252
730.2709 45.8163 45.3047  8.8790 45.8163 45.3047  8.8790
729.8411 45.7914 45.2747  8.9338 45.7914 45.2747  8.9338
729.4118 45.7627 45.2476  8.9897 45.7627 45.2476  8.9897
728.9830 45.7300 45.2234  9.0466 45.7300 45.2234  9.0466
728.5546 45.6934 45.2020  9.1045 45.6934 45.2020  9.1045
728.1268 45.6529 45.1836  9.1635 45.6529 45.1836  9.1635
727.6995 45.6085 45.1680  9.2235 45.6085 45.1680  9.2235
727.2727 45.5600 45.1553  9.2847 45.5600 45.1553  9.2847
726.8464 45.5076 45.1456  9.3469 45.5076 45.1456  9.3469
726.4206 45.4511 45.1387  9.4102 45.4511 45.1387  9.4102
725.9953 45.3906 45.1348  9.4746 45.3906 45.1348  9.4746
725.5705 45.3261 45.1338  9.5401 45.3261 45.1338  9.5401
725.1462 45.2574 45.1358  9.6068 45.2574 45.1358  9.6068
724.7224 45.1847 45.1407  9.6746 45.1847 45.1407  9.6746
724.2991 45.1078 45.1486  9.7435 45.1078 45.1486  9.7435
723.8762 45.0268 45.1595  9.8137 45.0268 45.1595  9.8137
723.4539 44.9416 45.1733  9.8850 44.9416 45.1733  9.8850
723.0321 44.8523 45.1902  9.9576 44.8523 45.1902  9.9576
722.6107 44.7587 45.2100 10.0313 44.7587 45.2100 10.0313
722.1899 44.6608 45.2329 10.1063 44.6608 45.2329 10.1063
721.7695 44.5587 45.2588 10.1825 44.5587 45.2588 10.1825
721.3496 44.4523 45.2878 10.2599 44.4523 45.2878 10.2599
720.9302 44.3416 45.3197 10.3387 44.3416 45.3197 10.3387
720.5113 44.2265 45.3548 10.4187 44.2265 45.3548 10.4187
720.0929 44.1071 45.3929 10.4999 44.1071 45.3929 10.4999
719.6750 43.9833 45.4341 10.5825 43.9833 45.4341 10.5825
719.2575 43.8551 45.4785 10.6665 43.8551 45.4785 10.6665
718.8406 43.7224 45.5259 10.7517 43.7224 45.5259 10.7517
718.4241 43.5852 45.5765 10.8383 43.5852 45.5765 10.8383
718.0081 43.4436 45.6302 10.9263 43.4436 45.6302 10.9263
717.5926 43.2974 45.6870 11.0156 43.2974 45.6870 11.0156
717.1776 43.1467 45.7470 11.1063 43.1467 45.7470 11.1063
716.7630 42.9914 45.8102 11.1984 42.9914 45.8102 11.1984
716.3489 42.8314 45.8766 11.2920 42.8314 45.8766 11.2920
715.9353 42.6669 45.9462 11.3869 42.6669 45.9462 11.3869
715.5222 42.4977 46.0190 11.4833 42.4977 46.0190 11.4833
715.1096 42.3238 46.0951 11.5812 42.3238 46.0951 11.5812
714.6974 42.1451 46.1744 11.6805 42.1451 46.1744 11.6805
714.2857 41.9618 46.2569 11.7813 41.9618 46.2569 11.7813
713.8745 41.7737 46.3428 11.8836 41.7737 46.3428 11.8836
713.4638 41.5807 46.4319 11.9873 41.5807 46.4319 11.9873
713.0535 41.3830 46.5244 12.0927 41.3830 46.5244 12.0927
712.6437 41.1804 46.6201 12.1995 41.1804 46.6201 12.1995
712.2343 40.9729 46.7192 12.3079 40.9729 46.7192 12.3079
711.8255 40.7606 46.8216 12.4178 40.7606 46.8216 12.4178
711.4171 40.5433 46.9274 12.5294 40.5433 46.9274 12.5294
711.0092 40.3210 47.0365 12.6424 40.3210 47.0365 12.6424
710.6017 40.0938 47.1491 12.7571 40.0938 47.1491 12.7571
710.1947 39.8616 47.2650 12.8734 39.8616 47.2650 12.8734
709.7882 39.6244 47.3843 12.9913 39.6244 47.3843 12.9913
709.3822 39.3821 47.5071 13.1108 39.3821 47.5071 13.1108
708.9766 39.1348 47.6333 13.2320 39.1348 47.6333 13.2320
708.5714 38.8823 47.7629 13.3548 38.8823 47.7629 13.3548
708.1668 38.6248 47.8959 13.4792 38.6248 47.8959 13.4792
707.7626 38.3622 48.0325 13.6053 38.3622 48.0325 13.6053
707.3588 38.0944 48.1725 13.7331 38.0944 48.1725 13.7331
706.9555 37.8215 48.3159 13.8626 37.8215 48.3159 13.8626
706.5527 37.5434 48.4629 13.9937 37.5434 48.4629 13.9937
706.1503 37.2602 48.6133 14.1265 37.2602 48.6133 14.1265
705.7484 36.9718 48.7672 14.2610 36.9718 48.7672 14.2610
705.3470 36.6781 48.9246 14.3972 36.6781 48.9246 14.3972
704.9460 36.3793 49.0855 14.5352 36.3793 49.0855 14.5352
704.5455 36.0753 49.2500 14.6748 36.0753 49.2500 14.6748
704.1454 35.7660 49.4179 14.8161 35.7660 49.4179 14.8161
703.7457 35.4515 49.5893 14.9592 35.4515 49.5893 14.9592
703.3466 35.1319 49.7642 15.1039 35.1319 49.7642 15.1039
702.9478 34.8070 49.9426 15.2504 34.8070 49.9426 15.2504
702.5496 34.4769 50.1245 15.3985 34.4769 50.1245 15.3985
702.1518 34.1417 50.3099 15.5484 34.1417 50.3099 15.5484
701.7544 33.8013 50.4987 15.7000 33.8013 50.4987 15.7000
701.3575 33.4557 50.6911 15.8533 33.4557 50.6911 15.8533
700.9610 33.1050 50.8868 16.0082 33.1050 50.8868 16.0082
700.5650 32.7491 51.0860 16.1649 32.7491 51.0860 16.1649
700.1694 32.3882 51.2886 16.3232 32.3882 51.2886 16.3232
699.7743 32.0222 51.4946 16.4832 32.0222 51.4946 16.4832
