 lambda      Rs      Ts      As      Rp      Tp      Ap
764.0173 45.0015 48.9454  6.0532 45.0015 48.9454  6.0532
763.5468 45.2471 48.7068  6.0461 45.2471 48.7068  6.0461
763.0769 45.4891 48.4715  6.0393 45.4891 48.4715  6.0393
762.6076 45.7275 48.2394  6.0330 45.7275 48.2394  6.0330
762.1389 45.9624 48.0105  6.0271 45.9624 48.0105  6.0271
761.6708 46.1936 47.7848  6.0216 46.1936 47.7848  6.0216
761.2032 46.4212 47.5623  6.0165 46.4212 47.5623  6.0165
760.7362 46.6452 47.3429  6.0118 46.6452 47.3429  6.0118
760.2698 46.8656 47.1268  6.0076 46.8656 47.1268  6.0076
759.8039 47.0824 46.9138  6.0038 47.0824 46.9138  6.0038
759.3386 47.2956 46.7040  6.0004 47.2956 46.7040  6.0004
758.8739 47.5052 46.4973  5.9974 47.5052 46.4973  5.9974
758.4098 47.7112 46.2938  5.9949 47.7112 46.2938  5.9949
757.9462 47.9136 46.0935  5.9929 47.9136 46.0935  5.9929
757.4832 48.1124 45.8963  5.9913 48.1124 45.8963  5.9913
757.0208 48.3076 45.7022  5.9902 48.3076 45.7022  5.9902
756.5589 48.4992 45.5113  5.9895 48.4992 45.5113  5.9895
756.0976 48.6872 45.3235  5.9893 48.6872 45.3235  5.9893
755.6368 48.8717 45.1388  5.9895 48.8717 45.1388  5.9895
755.1766 49.0525 44.9572  5.9903 49.0525 44.9572  5.9903
754.7170 49.2297 44.7788  5.9915 49.2297 44.7788  5.9915
754.2579 49.4033 44.6034  5.9932 49.4033 44.6034  5.9932
753.7994 49.5734 44.4312  5.9954 49.5734 44.4312  5.9954
753.3414 49.7399 44.2620  5.9981 49.7399 44.2620  5.9981
752.8840 49.9027 44.0959  6.0013 49.9027 44.0959  6.0013
752.4272 50.0620 43.9329  6.0051 50.0620 43.9329  6.0051
751.9709 50.2177 43.7730  6.0093 50.2177 43.7730  6.0093
751.5152 50.3698 43.6161  6.0141 50.3698 43.6161  6.0141
751.0600 50.5183 43.4623  6.0193 50.5183 43.4623  6.0193
750.6053 50.6633 43.3115  6.0252 50.6633 43.3115  6.0252
750.1512 50.8046 43.1638  6.0315 50.8046 43.1638  6.0315
749.6977 50.9424 43.0192  6.0384 50.9424 43.0192  6.0384
749.2447 51.0766 42.8775  6.0459 51.0766 42.8775  6.0459
748.7923 51.2072 42.7389  6.0539 51.2072 42.7389  6.0539
748.3404 51.3342 42.6033  6.0625 51.3342 42.6033  6.0625
747.8890 51.4576 42.4708  6.0716 51.4576 42.4708  6.0716
747.4382 51.5774 42.3412  6.0814 51.5774 42.3412  6.0814
746.9880 51.6936 42.2147  6.0917 51.6936 42.2147  6.0917
746.5382 51.8063 42.0912  6.1026 51.8063 42.0912  6.1026
746.0890 51.9153 41.9706  6.1141 51.9153 41.9706  6.1141
745.6404 52.0207 41.8531  6.1262 52.0207 41.8531  6.1262
