 lambda      Rs      Ts      As      Rp      Tp      Ap
746.0890 73.6576 22.3460  3.9965 73.6576 22.3460  3.9965
745.6404 73.6907 22.3033  4.0061 73.6907 22.3033  4.0061
745.1923 73.7220 22.2620  4.0160 73.7220 22.2620  4.0160
744.7447 73.7515 22.2222  4.0263 73.7515 22.2222  4.0263
744.2977 73.7792 22.1839  4.0369 73.7792 22.1839  4.0369
743.8512 73.8051 22.1470  4.0479 73.8051 22.1470  4.0479
743.4053 73.8292 22.1116  4.0592 73.8292 22.1116  4.0592
742.9599 73.8515 22.0776  4.0709 73.8515 22.0776  4.0709
742.5150 73.8721 22.0449  4.0829 73.8721 22.0449  4.0829
742.0706 73.8909 22.0137  4.0954 73.8909 22.0137  4.0954
741.6268 73.9080 21.9839  4.1081 73.9080 21.9839  4.1081
741.1835 73.9233 21.9555  4.1212 73.9233 21.9555  4.1212
740.7407 73.9369 21.9284  4.1347 73.9369 21.9284  4.1347
740.2985 73.9488 21.9027  4.1486 73.9488 21.9027  4.1486
739.8568 73.9589 21.8783  4.1628 73.9589 21.8783  4.1628
739.4156 73.9673 21.8553  4.1773 73.9673 21.8553  4.1773
738.9750 73.9741 21.8337  4.1923 73.9741 21.8337  4.1923
738.5348 73.9791 21.8134  4.2076 73.9791 21.8134  4.2076
738.0952 73.9824 21.7944  4.2232 73.9824 21.7944  4.2232
737.6562 73.9840 21.7767  4.2393 73.9840 21.7767  4.2393
737.2176 73.9839 21.7603  4.2557 73.9839 21.7603  4.2557
736.7796 73.9822 21.7453  4.2725 73.9822 21.7453  4.2725
736.3420 73.9788 21.7315  4.2897 73.9788 21.7315  4.2897
735.9050 73.9736 21.7191  4.3073 73.9736 21.7191  4.3073
735.4686 73.9669 21.7079  4.3252 73.9669 21.7079  4.3252
735.0326 73.9584 21.6981  4.3436 73.9584 21.6981  4.3436
734.5972 73.9482 21.6895  4.3623 73.9482 21.6895  4.3623
734.1622 73.9364 21.6822  4.3814 73.9364 21.6822  4.3814
733.7278 73.9229 21.6761  4.4010 73.9229 21.6761  4.4010
733.2939 73.9078 21.6714  4.4209 73.9078 21.6714  4.4209
732.8605 73.8909 21.6679  4.4412 73.8909 21.6679  4.4412
732.4276 73.8724 21.6656  4.4620 73.8724 21.6656  4.4620
731.9953 73.8522 21.6647  4.4831 73.8522 21.6647  4.4831
731.5634 73.8304 21.6649  4.5047 73.8304 21.6649  4.5047
731.1321 73.8068 21.6665  4.5267 73.8068 21.6665  4.5267
730.7012 73.7816 21.6693  4.5491 73.7816 21.6693  4.5491
730.2709 73.7547 21.6733  4.5719 73.7547 21.6733  4.5719
729.8411 73.7262 21.6786  4.5952 73.7262 21.6786  4.5952
729.4118 73.6959 21.6852  4.6189 73.6959 21.6852  4.6189
728.9830 73.6640 21.6930  4.6430 73.6640 21.6930  4.6430
728.5546 73.6303 21.7020  4.6676 73.6303 21.7020  4.6676
728.1268 73.5950 21.7123  4.6927 73.5950 21.7123  4.6927
727.6995 73.5579 21.7239  4.7182 73.5579 21.7239  4.7182
727.2727 73.5192 21.7367  4.7442 73.5192 21.7367  4.7442
726.8464 73.4787 21.7507  4.7706 73.4787 21.7507  4.7706
726.4206 73.4365 21.7660  4.7975 73.4365 21.7660  4.7975
725.9953 73.3926 21.7825  4.8249 73.3926 21.7825  4.8249
725.5705 73.3470 21.8002  4.8527 73.3470 21.8002  4.8527
725.1462 73.2996 21.8193  4.8811 73.2996 21.8193  4.8811
724.7224 73.2505 21.8395  4.9099 73.2505 21.8395  4.9099
724.2991 73.1997 21.8611  4.9393 73.1997 21.8611  4.9393
723.8762 73.1470 21.8838  4.9692 73.1470 21.8838  4.9692
723.4539 73.0926 21.9078  4.9995 73.0926 21.9078  4.9995
723.0321 73.0365 21.9331  5.0304 73.0365 21.9331  5.0304
722.6107 72.9785 21.9597  5.0618 72.9785 21.9597  5.0618
722.1899 72.9187 21.9875  5.0938 72.9187 21.9875  5.0938
721.7695 72.8572 22.0165  5.1263 72.8572 22.0165  5.1263
721.3496 72.7938 22.0469  5.1593 72.7938 22.0469  5.1593
720.9302 72.7286 22.0785  5.1929 72.7286 22.0785  5.1929
